file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0317_0402_2853679_to_2857173,བསད་ནས་དང་བསད་ནས་ཟ་རྒྱོ་འདྲ་བོ་བལྟ་སྙིང་བྲོ་ཡི་མ་རཱ། སོ་སོ་ཡང་།  ,bsad nas dang bsad nas za rgyo 'dra bo blta snying bro yi ma rA/_so so yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0317_0402_2853679_to_2857173.wav,STT_NS,3,65,3.494,wav16k/STT_NS_M0317_0402_2853679_to_2857173.wav,བསད་ནས་དང་བསད་ནས་ཟག་རྒྱོ་འདྲ་བོ་ལྟ་སྙིང་བྲོ་ཡི་མ་རཱ། སོ་སོ་ཡང་།
STT_NS_M0317_0409_2893168_to_2896024,ཁོ་ཚོ་ལ་ཚང་མ་ད་མི་དེ་ཚོ་གིས་ད་ཟ་ཡ་མ་གཏོགས།  ,kho tsho la tshang ma da mi de tsho gis da za ya ma gtogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0317_0409_2893168_to_2896024.wav,STT_NS,3,44,2.856,wav16k/STT_NS_M0317_0409_2893168_to_2896024.wav,ཁོ་ཚོ་ལ་ཚང་མ་ད་མི་དེ་ཚོ་གིས་ད་ཟ་ཡ་མ་གཏོགས།
STT_NS_M0317_0415_2925333_to_2928328,བྱ་མོ་ཡིན་པ་ཡིན་ན་ཡང་སོ་སོ་གི་ཚོར་བ་ཡོད་རེད་ལབ་ཡིན་རཱ།  ,bya mo yin pa yin na yang so so gi tshor ba yod red lab yin rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0317_0415_2925333_to_2928328.wav,STT_NS,3,56,2.995,wav16k/STT_NS_M0317_0415_2925333_to_2928328.wav,བྱ་མོ་ཡིན་པ་ཡིན་ནང་སོ་སོ་གི་ཚོར་བ་ཡོད་རེད་ལབ་ཡ་ཡིན་རཱ།
STT_TT00662_0086_963950_to_969820,ཤེས་རབ་ཀྱི་མིག་སྦྱིན་མཁན་གི་དགེ་བའི་བཤེས་གཉེན། བཀའ་དྲིན་ཆེ་ཤོས་ཅིག་ཆགས་བསྡད་ཡོད།  ,shes rab kyi mig sbyin mkhan gi dge ba'i bshes gnyen/_bka' drin che shos cig chags bsdad yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0086_963950_to_969820.wav,STT_TT,3,82,5.87,wav16k/STT_TT00662_0086_963950_to_969820.wav,ཤེས་རབ་ཀྱི་མིག་སྦྱིན་མཁན་གི། དགེ་བའི་བཤེས་གཉེན་བཀའ་དྲིན་ཆེ་ཤོས་ཅིག་ཆགས་བསྡད་ཡོད།
STT_TT00662_0098_1064547_to_1072960,སྔ་མ། ལེ་ལན་ཐམས་ཅད་གཅིག་ལ་གདའ་དེ། ག་གདའ་འ་གདའ་རང་། ཐག་ཆོད་པ་འདྲ་བོ་ཅིག དེ་འདྲའི་ཅིག་བློ་ལ་ཡོད། རྒན་དམ་པས་ཁྲིད་དུས་ཡང་། ད་ག་རང་གསུངས་བྱུང་།  ,snga ma/_le lan thams cad gcig la gda' de/_ga gda' 'a gda' rang /_thag chod pa 'dra bo cig_de 'dra'i cig blo la yod/_rgan dam pas khrid dus yang /_da ga rang gsungs byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0098_1064547_to_1072960.wav,STT_TT,3,140,8.413,wav16k/STT_TT00662_0098_1064547_to_1072960.wav,སྔ་མ་ལེ་ལེབ་ཐམས་ཅད་གཅིག་ལ་བརད་དེ། གོ་རདའ་རདའ་རང་ཐག་ཆོད་པ་འདྲ་ཅིག དེ་འདྲའི་ཅིག་བློ་ལ་ཡོད། རྒན་དམ་པས་ཁྲིད་དུས་ཡང་། ད་ག་རང་གསུངས་བྱུག
STT_TT00662_0093_1033336_to_1042721,དེའི་ཨེ་ནས་ནང་ལ་ཡང་རྩ་བ་ཏིས་སི་ཏིས་སི་རྒན་གི་གསུང་གི་ནང་ལ་ཆད་པ་དེ་འདྲའི་ཨོ། ཨེ་ནས་ཅིག་གི་ ,de'i e nas nang la yang rtsa ba tis si tis si rgan gi gsung gi nang la chad pa de 'dra'i o/_e nas cig gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0093_1033336_to_1042721.wav,STT_TT,3,90,9.385,wav16k/STT_TT00662_0093_1033336_to_1042721.wav,དེའི་ཨེ་ནས་ནང་ལ་ཡང་རྩ་བ་ཏིས་ཙི་ཏིས་ཙི། རྒན་གི་གསུང་དེའི་ནང་ལ་ ཆད་པ་དེ་འདྲའི། ཨོ། ཨེ་ནས་ཅིག་གི
STT_TT00662_0095_1050281_to_1053643,སྐྱབས་མགོན་རིན་པོ་ཆེའི་སྐུ་མདུན་ནས་ཐོབ་ཡོད་རེད། དེ་ཡིན་ཙང་།  ,skyabs mgon rin po che'i sku mdun nas thob yod red/_de yin tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0095_1050281_to_1053643.wav,STT_TT,3,61,3.362,wav16k/STT_TT00662_0095_1050281_to_1053643.wav,སྐྱབས་མགོན་རིན་པོ་ཆེའ་སྐུ་མདུན་ནས་ཐོབ་ཡོད་རེད། དེ་ཡིན་ཙང་།
STT_TT00662_0100_1083558_to_1088029,བློ་སྦྱོང་བློ་བཟང་དགོངས་རྒྱན་ཟེར་ཡ་དེ། ཡོངས་འཛིན་ཡེ་ཤེས་རྒྱལ་མཚན་གིས་མཛད་པ་དེ་རེད།  ,blo sbyong blo bzang dgongs rgyan zer ya de/_yongs 'dzin ye shes rgyal mtshan gis mdzad pa de red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0100_1083558_to_1088029.wav,STT_TT,3,84,4.471,wav16k/STT_TT00662_0100_1083558_to_1088029.wav,བློ་སྦྱོང་བློ་བཟང་དགོངས་རྒྱན་ཟེར་ཡ་དེ། ཡོངས་འཛིན་ཡེ་ཤེས་རྒྱལ་མཚན་གིས་མཛད་པ་དེ་རེད།
STT_TT00662_0117_1208302_to_1213302,བློ་སྦྱོང་ཨ། ཉི་མའི་འོད་ཟེར་དང་། ཨ། བློ་སྦྱོང་བློ་བཟང་དགོངས་རྒྱན་གི།  ,blo sbyong a/_nyi ma'i 'od zer dang /_a/_blo sbyong blo bzang dgongs rgyan gi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0117_1208302_to_1213302.wav,STT_TT,3,70,5.0,wav16k/STT_TT00662_0117_1208302_to_1213302.wav,བློ་སྦྱོང་ཨ། ཉི་མའི་འོད་གསལ་དང་། ཨ། བློ་སྦྱོང་བློ་བཟང་དགོངས་རྒྱན་གི་
STT_TT00662_0099_1075503_to_1083080,བློ་སྦྱོང་དོན་བློ་སྦྱོང་དོན་བདུན་མའི་གི་འགྲེལ་པ་ནང་ནས་འགྲེལ་པ་ཆེ་ཤོས། དཔེ་ཆ་པོ་ཏི་ཆེ་ཤོས་དེ་ག་རེ་རེད་ཟེར་ན།  ,blo sbyong don blo sbyong don bdun ma'i gi 'grel pa nang nas 'grel pa che shos/_dpe cha po ti che shos de ga re red zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0099_1075503_to_1083080.wav,STT_TT,3,109,7.577,wav16k/STT_TT00662_0099_1075503_to_1083080.wav,བློ་སྦྱོང་དོན། བློ་སྦྱོང་དོན་བདུན་མའགི་འགྲེལ་པ་ནང་ནས། འགྲེལ་པ་ཆེ་ཤོས། དཔེ་ཆ་པོ་ཏི་ཆེ་ཤོས་དེ་ག་རེ་རེད་ཟེར་ན།
STT_TT00662_0106_1125347_to_1127971,དཔེ་མཐར་ཐུག་ས་དེའི་སྐད་ཆ་བཤད་ཀི་ཡོད་རེད་བ། དེ་ཡིན་དུས།  ,dpe mthar thug sa de'i skad cha bshad ki yod red ba/_de yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0106_1125347_to_1127971.wav,STT_TT,3,56,2.624,wav16k/STT_TT00662_0106_1125347_to_1127971.wav,དཔེ། མཐར་ཐུག་ས་དེ་སྐད་ཆ་བཤད་ཀི་ཡོད་རེད་བ། དེ་ཡིན་དུས།
STT_TT00662_0107_1129889_to_1136936,ད་ཁོ་རང་དོན་དང་ལྡན་པ་ཅིག་ཆགས་ཀི་ཡོད་ཙང་། ཨེ་ནས་ཡང་ཚིག་དེ་ཚོ་ནོར་བཅོས་འདྲ་བོ་དེ་ཚོ་དེ་ནས་ཚུར་བཤུས། གང་ལྟར།  ,da kho rang don dang ldan pa cig chags ki yod tsang /_e nas yang tshig de tsho nor bcos 'dra bo de tsho de nas tshur bshus/_gang ltar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0107_1129889_to_1136936.wav,STT_TT,3,107,7.047,wav16k/STT_TT00662_0107_1129889_to_1136936.wav,རྟ་ཁོ་རང་དོན་དང་ལྡན་པ་ཅིག་ཆགས་ཀི་ཡོད་ཙང་། ཨེ་ནས་ཡང་ཚིག་དེ་ཚོ་ནོར་བཅོས་འདྲ་བོ་དེ་ཚོ་དེ་ནས་ཚུར་ཞུས། གང་ལྟར།
STT_TT00662_0110_1163787_to_1165995,ཨ་གདུལ་བྱ་སྤྱིའི་དབང་དུ་བཏང་ནས།  ,a gdul bya spyi'i dbang du btang nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0110_1163787_to_1165995.wav,STT_TT,3,33,2.208,wav16k/STT_TT00662_0110_1163787_to_1165995.wav,ཨ། གདུལ་བྱ་སྤྱིའི་དབང་དུ་བཏང་ནས།
STT_NS_M0282_0223_1361927_to_1366733,ནད་པ་ཡིན་ནས་དེར་སེམས་པ་སྐྱིད་པོ་འདྲ་བོ་བྱས། ཨོ་ཨེམ་ཆིས་ངའི་དཀའ་ངལ་མགོ་འཚོས་ཀི་ཡོད་ས་རེད་ལབ་ནས་ཡོད་བ།  ,nad pa yin nas der sems pa skyid po 'dra bo byas/_o em chis nga'i dka' ngal mgo 'tshos ki yod sa red lab nas yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0282_0223_1361927_to_1366733.wav,STT_NS,3,102,4.806,wav16k/STT_NS_M0282_0223_1361927_to_1366733.wav,ནད་པ་ཡིན་ནས་ད་སེམས་པ་སྐྱིད་པོ་འདྲ་བོ་བྱས། ཨོ་ཨེམ་ཆི་ངའི་དཀའ་ངལ་མགོ་ཚོས་ཀི་ཡོད་ས་རེད་ལབ་ནས་ཡོད་བ།
STT_TT00662_0102_1093626_to_1101766,བྱས་ཙང་། བློ་སྦྱོང་བློ་བཟང་དགོངས་རྒྱན་ནང་ལ། ཡོངས་འཛིན་ཡེ་ཤེས་རྒྱལ་མཚན་གིས། ལེ་ལན་ཐམས་ཅད་གཅིག་ལ་བདའ། ཟེ་ཡ་དེ། བ་བོ་ད་འ་བདའ། རང་བསྐྱོན་ཤག ,byas tsang /_blo sbyong blo bzang dgongs rgyan nang la/_yongs 'dzin ye shes rgyal mtshan gis/_le lan thams cad gcig la bda'/_ze ya de/_ba bo da 'a bda'/_rang bskyon shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0102_1093626_to_1101766.wav,STT_TT,3,136,8.14,wav16k/STT_TT00662_0102_1093626_to_1101766.wav,བྱས་ཙང་། བློ་སྦྱོང་བློ་བཟང་དགོངས་རྒྱན་ནང་ལ། ཡོངས་འཛིན་ཡེ་ཤེས་རྒྱལ་མཚན་གིས། ལེ་ལན་ཐམས་ཅད་གཅིག་ལ་བདའ་ཟེར་ཡ་དེ། བའོ་ད་ད་རང་སྐྱོན་ཤག
STT_TT00662_0104_1114371_to_1117123,སྡུག་བསྔལ་ཐམས་ཅད། སྐྱོན་ཐམས་ཅད་ཀི་རྩ་བ་ཐུག་ས་དེ།  ,sdug bsngal thams cad/_skyon thams cad ki rtsa ba thug sa de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00662_0104_1114371_to_1117123.wav,STT_TT,3,50,2.752,wav16k/STT_TT00662_0104_1114371_to_1117123.wav,སྡུག་བསྔལ་ཐམས་ཅད། སྐྱོན་ཐམས་ཅད་ཀི་རྩ་བ་ཐུག་ས་དེ།
